ionosphere-simulated-x
Budget : 0.2
Similarity Threshold : 0.9
Weight Threshold : 0.7


Number of classes : 2


MAPAL RESULTS

     index  train-micro-misclf-rate  test-micro-misclf-rate  train-macro-misclf-rate  test-macro-misclf-rate  n-labeled-samples  n-true-labels-0  n-false-labels-0  n-true-labels-1  n-false-labels-1  n-true-labels-2  n-false-labels-2  n-true-labels-3  n-false-labels-3  n-true-labels  n-false-labels     times
True Labels                                     1.0                               [1.0, 1.0]                                  0.780142  [0.5866666666666668, 0.8502415458937199]                                    0.900709   [0.8372093023255814, 0.9285714285714286]


KNOWLEDGE BASE ANNOTATOR METRIC

                  Annotator Accuracy after Warmup on Boot Data Annotator F1 Score after Warmup on Boot Data  Annotator Accuracy after Training         Annotator F1 Score after Training
Weighted Average                                           1.0                                   [1.0, 1.0]                           0.853933  [0.8807339449541285, 0.8115942028985507]
Maximum Index                                              1.0                                   [1.0, 1.0]                           0.853933  [0.8807339449541285, 0.8115942028985507]


WITHOUT KNOWLEDGE BASE CLASSIFIER METRIC

                 After Warmup Accuracy on Boot Data       After Warmup F1 Score on Boot Data  After Warmup Accuracy on Validation Data  After Warmup F1 Score on Validation Data  After Training Accuracy on Validation Data After Training F1 Score on Validation Data
Annotator Model                                 1.0                               [1.0, 1.0]                                  0.780142  [0.5866666666666668, 0.8502415458937199]                                    0.865248    [0.759493670886076, 0.9064039408866995]
W Optimal                                       1.0                               [1.0, 1.0]                                  0.780142  [0.5866666666666668, 0.8502415458937199]                                    0.872340                [0.775, 0.9108910891089108]
Majority                                        0.9  [0.888888888888889, 0.9090909090909091]                                  0.787234  [0.7115384615384615, 0.8314606741573034]                                    0.843972   [0.7500000000000001, 0.8865979381443299]
True Labels                                     1.0                               [1.0, 1.0]                                  0.780142  [0.5866666666666668, 0.8502415458937199]                                    0.900709                 [0.8292682926829269, 0.93]


WITHOUT KNOWLEDGE BASE ANNOTATOR METRIC

                  Annotator Accuracy after Warmup on Boot Data Annotator F1 Score after Warmup on Boot Data  Annotator Accuracy after Training         Annotator F1 Score after Training
Weighted Average                                           1.0                                   [1.0, 1.0]                           0.811594  [0.8395061728395061, 0.7719298245614036]
Maximum Index                                              1.0                                   [1.0, 1.0]                           0.811594  [0.8395061728395061, 0.7719298245614036]
