iris-simulated-x
Budget : 0.4
Similarity Threshold : 0.9
Weight Threshold : 0.7


Number of classes : 3


MAPAL RESULTS

     index  train-micro-misclf-rate  test-micro-misclf-rate  train-macro-misclf-rate  test-macro-misclf-rate  n-labeled-samples  n-true-labels-0  n-false-labels-0  n-true-labels-1  n-false-labels-1  n-true-labels-2  n-false-labels-2  n-true-labels-3  n-false-labels-3  n-true-labels-4  n-false-labels-4  n-true-labels  n-false-labels     times
116    116                 0.088889                0.150000                 0.089346                0.153676                 61                4                12               18                 7               18                 7               19                 9               15                 7             74              42  0.010767
117    117                 0.100000                0.150000                 0.100099                0.153676                 62                4                12               18                 7               18                 7               19                10               15                 7             74              43  0.009782
118    118                 0.155556                0.266667                 0.153862                0.276483                 62                4                12               18                 7               18                 7               19                11               15                 7             74              44  0.008333
119    119                 0.133333                0.233333                 0.132357                0.241395                 63                4                12               18                 7               18                 7               20                11               15                 7             75              44  0.009175
120    120                 0.100000                0.150000                 0.100099                0.153676                 63                4                12               18                 7               18                 7               20                11               15                 8             75              45  0.009276
121    121                 0.100000                0.150000                 0.100099                0.153676                 63                4                12               18                 7               18                 7               21                11               15                 8             76              45  0.008783
122    122                 0.077778                0.083333                 0.078593                0.083500                 64                4                12               18                 7               18                 7               22                11               15                 8             77              45  0.009410
123    123                 0.088889                0.133333                 0.089346                0.136132                 64                4                12               18                 7               18                 7               22                11               15                 9             77              46  0.009720
124    124                 0.077778                0.083333                 0.078593                0.083500                 64                4                12               18                 7               18                 7               23                11               15                 9             78              46  0.009244
125    125                 0.066667                0.050000                 0.067841                0.048413                 64                4                12               18                 7               18                 7               23                11               16                 9             79              46  0.008483
126    126                 0.055556                0.050000                 0.057088                0.048413                 64                4                12               18                 7               18                 7               23                11               17                 9             80              46  0.008975
127    127                 0.055556                0.050000                 0.057088                0.048413                 65                4                12               18                 7               18                 7               23                11               18                 9             81              46  0.008327
128    128                 0.055556                0.050000                 0.057088                0.048413                 66                4                12               18                 7               18                 7               23                11               19                 9             82              46  0.008393
129    129                 0.055556                0.050000                 0.057088                0.048413                 66                4                12               19                 7               18                 7               23                11               19                 9             83              46  0.008126
130    130                 0.066667                0.050000                 0.068582                0.048413                 66                4                12               19                 7               19                 7               23                11               19                 9             84              46  0.009723
131    131                 0.055556                0.050000                 0.057088                0.048413                 66                4                12               19                 7               19                 7               24                11               19                 9             85              46  0.008763
132    132                 0.055556                0.033333                 0.056705                0.032540                 66                4                12               19                 7               19                 7               25                11               19                 9             86              46  0.009638
133    133                 0.088889                0.066667                 0.090038                0.065873                 66                4                12               19                 7               19                 7               25                12               19                 9             86              47  0.009591
134    134                 0.100000                0.083333                 0.101149                0.082540                 66                4                12               19                 7               20                 7               25                12               19                 9             87              47  0.007884
135    135                 0.066667                0.033333                 0.067816                0.032540                 66                4                12               19                 7               20                 7               26                12               19                 9             88              47  0.009510
136    136                 0.055556                0.033333                 0.056705                0.032540                 66                4                12               19                 7               20                 7               27                12               19                 9             89              47  0.009579
137    137                 0.066667                0.050000                 0.068199                0.048413                 66                4                12               19                 7               20                 7               27                13               19                 9             89              48  0.023542
138    138                 0.066667                0.033333                 0.068199                0.032540                 67                4                12               19                 7               21                 7               27                13               19                 9             90              48  0.010731
139    139                 0.066667                0.033333                 0.068199                0.032540                 67                4                12               19                 7               21                 7               27                13               19                10             90              49  0.008223
140    140                 0.066667                0.050000                 0.068199                0.048413                 67                4                12               19                 7               21                 7               28                13               19                10             91              49  0.007938
141    141                 0.066667                0.050000                 0.068199                0.048413                 67                4                12               19                 7               22                 7               28                13               19                10             92              49  0.007912
142    142                 0.055556                0.050000                 0.057088                0.048413                 67                4                12               19                 8               22                 7               28                13               19                10             92              50  0.008701
143    143                 0.055556                0.050000                 0.057088                0.048413                 67                4                12               19                 8               23                 7               28                13               19                10             93              50  0.008296
144    144                 0.066667                0.033333                 0.068199                0.032540                 67                4                12               19                 8               23                 7               29                13               19                10             94              50  0.008867
145    145                 0.066667                0.033333                 0.068199                0.032540                 67                4                12               19                 8               23                 7               29                14               19                10             94              51  0.007041
146    146                 0.066667                0.050000                 0.068199                0.048413                 67                4                12               19                 8               23                 7               29                14               20                10             95              51  0.007178
147    147                 0.055556                0.050000                 0.057088                0.048413                 67                4                12               19                 8               23                 7               29                14               20                11             95              52  0.009914
148    148                 0.055556                0.050000                 0.057088                0.048413                 67                4                12               19                 8               23                 7               29                15               20                11             95              53  0.009440
149    149                 0.066667                0.050000                 0.068582                0.048413                 67                4                12               19                 8               24                 7               29                15               20                11             96              53  0.009096
150    150                 0.066667                0.050000                 0.068582                0.048413                 67                4                13               19                 8               24                 7               29                15               20                11             96              54  0.007669
151    151                 0.066667                0.050000                 0.068582                0.048413                 67                4                14               19                 8               24                 7               29                15               20                11             96              55  0.007403
152    152                 0.066667                0.050000                 0.068582                0.048413                 68                4                14               19                 8               25                 7               29                15               20                11             97              55  0.007780
153    153                 0.077778                0.050000                 0.079693                0.048413                 69                4                14               19                 8               26                 7               29                15               20                11             98              55  0.008753
154    154                 0.066667                0.050000                 0.068582                0.048413                 69                4                14               20                 8               26                 7               29                15               20                11             99              55  0.009074
155    155                 0.066667                0.050000                 0.068582                0.048413                 69                4                14               20                 8               26                 7               30                15               20                11            100              55  0.007945
156    156                 0.066667                0.050000                 0.068582                0.048413                 69                4                14               21                 8               26                 7               30                15               20                11            101              55  0.008759
157    157                 0.066667                0.050000                 0.068582                0.048413                 69                4                14               21                 9               26                 7               30                15               20                11            101              56  0.007529
158    158                 0.066667                0.050000                 0.068582                0.048413                 69                4                14               21                 9               26                 7               31                15               20                11            102              56  0.009253
159    159                 0.066667                0.050000                 0.068582                0.048413                 69                4                14               21                 9               26                 7               31                15               21                11            103              56  0.007074
160    160                 0.066667                0.050000                 0.068582                0.048413                 69                4                14               21                 9               27                 7               31                15               21                11            104              56  0.006662
161    161                 0.066667                0.050000                 0.068582                0.048413                 70                4                14               21                 9               28                 7               31                15               21                11            105              56  0.008525
162    162                 0.066667                0.050000                 0.068582                0.048413                 70                4                14               21                 9               28                 7               31                15               21                12            105              57  0.006705
163    163                 0.066667                0.050000                 0.068582                0.048413                 70                4                15               21                 9               28                 7               31                15               21                12            105              58  0.007392
164    164                 0.066667                0.050000                 0.068582                0.048413                 70                4                15               21                 9               28                 7               32                15               21                12            106              58  0.008765
165    165                 0.066667                0.050000                 0.068582                0.048413                 70                4                15               21                 9               28                 7               32                15               21                13            106              59  0.007574
166    166                 0.066667                0.050000                 0.068582                0.048413                 70                4                15               21                 9               29                 7               32                15               21                13            107              59  0.010094
167    167                 0.077778                0.050000                 0.079693                0.048413                 70                4                15               22                 9               29                 7               32                15               21                13            108              59  0.008511
168    168                 0.066667                0.050000                 0.068582                0.048413                 70                4                15               23                 9               29                 7               32                15               21                13            109              59  0.008024
169    169                 0.066667                0.050000                 0.068582                0.048413                 70                4                15               23                 9               29                 7               32                16               21                13            109              60  0.006541
170    170                 0.066667                0.050000                 0.068582                0.048413                 70                4                16               23                 9               29                 7               32                16               21                13            109              61  0.006131
171    171                 0.066667                0.050000                 0.068582                0.048413                 70                4                16               24                 9               29                 7               32                16               21                13            110              61  0.006801
172    172                 0.066667                0.050000                 0.068582                0.048413                 70                4                16               25                 9               29                 7               32                16               21                13            111              61  0.006469
173    173                 0.077778                0.050000                 0.079693                0.048413                 70                4                16               25                 9               29                 8               32                16               21                13            111              62  0.007079
174    174                 0.077778                0.050000                 0.079693                0.048413                 70                4                16               25                 9               30                 8               32                16               21                13            112              62  0.005836
175    175                 0.066667                0.050000                 0.068582                0.048413                 70                4                16               25                 9               30                 8               33                16               21                13            113              62  0.006498
176    176                 0.066667                0.050000                 0.068582                0.048413                 70                4                16               25                 9               30                 8               34                16               21                13            114              62  0.006515
177    177                 0.066667                0.050000                 0.068582                0.048413                 70                4                16               26                 9               30                 8               34                16               21                13            115              62  0.007165
