MAPAL RESULTS

parkinsons-simulated-x
Budget : 0.4

Number of classes : 2


     index  train-micro-misclf-rate  test-micro-misclf-rate  train-macro-misclf-rate  test-macro-misclf-rate  n-labeled-samples  n-true-labels-0  n-false-labels-0  n-true-labels-1  n-false-labels-1  n-true-labels-2  n-false-labels-2  n-true-labels-3  n-false-labels-3  n-true-labels-4  n-false-labels-4  n-true-labels  n-false-labels     times
76      76                 0.247863                0.230769                 0.392857                0.381494                 57                4                 5                5                 3               21                 6               13                 8                8                 3             51              25  0.013220
77      77                 0.247863                0.243590                 0.392857                0.404221                 58                4                 5                5                 3               21                 6               14                 8                8                 3             52              25  0.013041
78      78                 0.239316                0.243590                 0.387363                0.404221                 58                5                 5                5                 3               21                 6               14                 8                8                 3             53              25  0.012957
79      79                 0.247863                0.230769                 0.392857                0.381494                 58                5                 5                5                 3               21                 6               14                 9                8                 3             53              26  0.012827
80      80                 0.247863                0.243590                 0.392857                0.404221                 59                5                 5                5                 3               22                 6               14                 9                8                 3             54              26  0.013134
81      81                 0.239316                0.243590                 0.387363                0.404221                 60                5                 5                5                 3               22                 6               15                 9                8                 3             55              26  0.012380
82      82                 0.239316                0.230769                 0.387363                0.381494                 61                5                 5                5                 3               22                 6               15                10                8                 3             55              27  0.012763
83      83                 0.230769                0.243590                 0.381868                0.404221                 61                5                 5                5                 3               22                 6               15                10                9                 3             56              27  0.012626
84      84                 0.222222                0.269231                 0.376374                0.449675                 62                5                 5                5                 3               23                 6               15                10                9                 3             57              27  0.012772
85      85                 0.222222                0.269231                 0.376374                0.449675                 63                5                 5                5                 3               24                 6               15                10                9                 3             58              27  0.018391
86      86                 0.222222                0.256410                 0.376374                0.426948                 64                5                 5                5                 3               24                 6               15                10               10                 3             59              27  0.014753
87      87                 0.222222                0.256410                 0.376374                0.426948                 65                5                 5                5                 3               25                 6               15                10               10                 3             60              27  0.040848
88      88                 0.222222                0.256410                 0.376374                0.426948                 66                5                 5                5                 3               26                 6               15                10               10                 3             61              27  0.012491
89      89                 0.222222                0.256410                 0.376374                0.426948                 67                5                 5                5                 3               27                 6               15                10               10                 3             62              27  0.012897
90      90                 0.213675                0.243590                 0.357143                0.404221                 68                5                 5                5                 3               28                 6               15                10               10                 3             63              27  0.012750
91      91                 0.222222                0.256410                 0.376374                0.426948                 69                5                 5                6                 3               28                 6               15                10               10                 3             64              27  0.012688
92      92                 0.222222                0.256410                 0.376374                0.426948                 70                5                 5                6                 3               28                 6               16                10               10                 3             65              27  0.012704
93      93                 0.222222                0.205128                 0.376374                0.336039                 70                5                 5                7                 3               28                 6               16                10               10                 3             66              27  0.012576
94      94                 0.222222                0.217949                 0.376374                0.358766                 70                5                 5                8                 3               28                 6               16                10               10                 3             67              27  0.012492
95      95                 0.222222                0.217949                 0.376374                0.358766                 71                5                 5                8                 3               29                 6               16                10               10                 3             68              27  0.012366
96      96                 0.222222                0.217949                 0.376374                0.358766                 72                5                 5                8                 3               30                 6               16                10               10                 3             69              27  0.012257
97      97                 0.230769                0.230769                 0.395604                0.381494                 73                5                 5                8                 3               30                 7               16                10               10                 3             69              28  0.012199
98      98                 0.230769                0.230769                 0.395604                0.381494                 73                5                 5                8                 4               30                 7               16                10               10                 3             69              29  0.012219
99      99                 0.247863                0.230769                 0.434066                0.381494                 74                5                 5                8                 4               30                 8               16                10               10                 3             69              30  0.011779
100    100                 0.247863                0.217949                 0.434066                0.358766                 74                5                 5                9                 4               30                 8               16                10               10                 3             70              30  0.011735
101    101                 0.239316                0.217949                 0.428571                0.358766                 74                6                 5                9                 4               30                 8               16                10               10                 3             71              30  0.011728
102    102                 0.239316                0.217949                 0.428571                0.358766                 74                6                 5                9                 4               30                 8               16                10               11                 3             72              30  0.011691
103    103                 0.239316                0.217949                 0.428571                0.358766                 74                7                 5                9                 4               30                 8               16                10               11                 3             73              30  0.011877
104    104                 0.230769                0.217949                 0.409341                0.358766                 74                7                 5               10                 4               30                 8               16                10               11                 3             74              30  0.012556
105    105                 0.222222                0.217949                 0.390110                0.358766                 74                7                 5               11                 4               30                 8               16                10               11                 3             75              30  0.012543
106    106                 0.213675                0.205128                 0.370879                0.336039                 74                7                 5               11                 4               30                 8               16                10               12                 3             76              30  0.012210
107    107                 0.213675                0.217949                 0.370879                0.358766                 74                7                 5               11                 4               30                 8               17                10               12                 3             77              30  0.011885
108    108                 0.205128                0.217949                 0.351648                0.358766                 75                7                 5               11                 4               30                 8               18                10               12                 3             78              30  0.011822
109    109                 0.205128                0.205128                 0.351648                0.336039                 75                7                 5               11                 4               30                 8               18                10               13                 3             79              30  0.012265
110    110                 0.162393                0.141026                 0.255495                0.222403                 76                7                 5               11                 4               30                 8               18                10               14                 3             80              30  0.012761
111    111                 0.170940                0.141026                 0.274725                0.222403                 76                7                 5               11                 4               30                 8               19                10               14                 3             81              30  0.013922
112    112                 0.170940                0.141026                 0.274725                0.222403                 77                7                 5               11                 4               30                 8               19                11               14                 3             81              31  0.012519
113    113                 0.179487                0.153846                 0.280220                0.231331                 78                7                 5               11                 5               30                 8               19                11               14                 3             81              32  0.012079
114    114                 0.170940                0.141026                 0.274725                0.222403                 78                7                 5               11                 5               30                 8               20                11               14                 3             82              32  0.011889
115    115                 0.179487                0.141026                 0.293956                0.222403                 79                7                 6               11                 5               30                 8               20                11               14                 3             82              33  0.011846
116    116                 0.170940                0.141026                 0.274725                0.222403                 79                7                 6               11                 5               30                 8               21                11               14                 3             83              33  0.012039
117    117                 0.153846                0.141026                 0.236264                0.222403                 80                7                 6               11                 5               30                 8               21                11               15                 3             84              33  0.012101
118    118                 0.153846                0.141026                 0.236264                0.222403                 80                7                 6               11                 5               30                 8               22                11               15                 3             85              33  0.012440
119    119                 0.145299                0.141026                 0.217033                0.222403                 80                7                 6               11                 5               30                 8               22                11               16                 3             86              33  0.011729
120    120                 0.153846                0.141026                 0.222527                0.222403                 80                7                 6               11                 5               30                 8               22                11               16                 4             86              34  0.011324
121    121                 0.145299                0.166667                 0.217033                0.267857                 80                7                 6               12                 5               30                 8               22                11               16                 4             87              34  0.012020
122    122                 0.145299                0.166667                 0.217033                0.267857                 80                7                 6               13                 5               30                 8               22                11               16                 4             88              34  0.011133
123    123                 0.145299                0.166667                 0.217033                0.267857                 80                7                 6               13                 5               30                 8               22                11               17                 4             89              34  0.011084
124    124                 0.136752                0.166667                 0.197802                0.267857                 80                7                 6               14                 5               30                 8               22                11               17                 4             90              34  0.011753
125    125                 0.119658                0.153846                 0.159341                0.245130                 80                7                 6               15                 5               30                 8               22                11               17                 4             91              34  0.011391
126    126                 0.119658                0.128205                 0.145604                0.199675                 80                7                 6               16                 5               30                 8               22                11               17                 4             92              34  0.013702
127    127                 0.119658                0.153846                 0.145604                0.231331                 80                7                 6               16                 5               30                 8               22                11               18                 4             93              34  0.016930
128    128                 0.128205                0.153846                 0.151099                0.231331                 80                7                 6               16                 5               30                 8               22                11               18                 5             93              35  0.011993
129    129                 0.119658                0.141026                 0.145604                0.222403                 80                7                 6               17                 5               30                 8               22                11               18                 5             94              35  0.011347
130    130                 0.119658                0.141026                 0.145604                0.222403                 81                7                 6               17                 6               30                 8               22                11               18                 5             94              36  0.010503
131    131                 0.119658                0.141026                 0.145604                0.222403                 81                7                 6               18                 6               30                 8               22                11               18                 5             95              36  0.010475
132    132                 0.119658                0.153846                 0.145604                0.245130                 82                7                 6               18                 6               31                 8               22                11               18                 5             96              36  0.010432
133    133                 0.111111                0.153846                 0.140110                0.245130                 82                7                 6               19                 6               31                 8               22                11               18                 5             97              36  0.010309
134    134                 0.111111                0.141026                 0.140110                0.222403                 82                7                 6               19                 6               32                 8               22                11               18                 5             98              36  0.010577
